Mitocheck_Phenotypic_Class,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold
ADCCM,0.9883663172883931,0.13666737776916676,0.9623944743115062,0.016646879208227116,False,False
Anaphase,0.9976121868058234,0.07094707878483986,0.9623944743115062,0.016646879208227116,False,False
Apoptosis,0.9980744099212137,0.20123614198972833,0.9623944743115062,0.016646879208227116,False,False
Binuclear,0.998255765864761,0.11970096046148843,0.9623944743115062,0.016646879208227116,False,False
Elongated,0.9982397092798636,0.0754417409634636,0.9623944743115062,0.016646879208227116,False,False
Folded,0.997254416203772,0.05767794136126311,0.9623944743115062,0.016646879208227116,False,False
Grape,0.9895799685090451,0.10244014795263111,0.9623944743115062,0.016646879208227116,False,False
Hole,0.996347329651001,0.11871548818644098,0.9623944743115062,0.016646879208227116,False,False
Interphase,0.9980904975287227,0.2205669983020932,0.9623944743115062,0.016646879208227116,False,False
Large,0.9977216347439147,0.04043908769267359,0.9623944743115062,0.016646879208227116,False,False
Metaphase,0.9978421758590452,0.05533069320128866,0.9623944743115062,0.016646879208227116,False,False
MetaphaseAlignment,0.9981881984394845,0.09906899242953127,0.9623944743115062,0.016646879208227116,False,False
OutOfFocus,0.996579625395846,0.1760423511709304,0.9623944743115062,0.016646879208227116,False,False
Polylobed,0.9982898391584806,0.1993805506419936,0.9623944743115062,0.016646879208227116,False,False
Prometaphase,0.9980896158550069,0.19626857646381954,0.9623944743115062,0.016646879208227116,False,False
SmallIrregular,0.9971712443919076,0.1508865723397018,0.9623944743115062,0.016646879208227116,False,False
neg_control,0.9979902253802786,0.01664687920822709,0.9623944743115062,0.016646879208227116,False,False
